timestamp,value
2009-01-03T00:00:00Z,50
2009-01-04T00:00:00Z,
2009-01-05T00:00:00Z,
2009-01-06T00:00:00Z,
2009-01-07T00:00:00Z,
2009-01-08T00:00:00Z,
2009-01-09T00:00:00Z,750
2009-01-10T00:00:00Z,3800
2009-01-11T00:00:00Z,8450
2009-01-12T00:00:00Z,13150
2009-01-13T00:00:00Z,19300
2009-01-14T00:00:00Z,25750
2009-01-15T00:00:00Z,32050
2009-01-16T00:00:00Z,37450
2009-01-17T00:00:00Z,42900
2009-01-18T00:00:00Z,48250
2009-01-19T00:00:00Z,54000
2009-01-20T00:00:00Z,59700
2009-01-21T00:00:00Z,64800
2009-01-22T00:00:00Z,69350
2009-01-23T00:00:00Z,73550
2009-01-24T00:00:00Z,83600
2009-01-25T00:00:00Z,93150
2009-01-26T00:00:00Z,97950
2009-01-27T00:00:00Z,102800
2009-01-28T00:00:00Z,108400
2009-01-29T00:00:00Z,114450
2009-01-30T00:00:00Z,120300
2009-01-31T00:00:00Z,127200
2009-02-01T00:00:00Z,132850
2009-02-02T00:00:00Z,139250
2009-02-03T00:00:00Z,146200
2009-02-04T00:00:00Z,152150
2009-02-05T00:00:00Z,158450
2009-02-06T00:00:00Z,164550
2009-02-07T00:00:00Z,171000
2009-02-08T00:00:00Z,177600
2009-02-09T00:00:00Z,184300
2009-02-10T00:00:00Z,190300
2009-02-11T00:00:00Z,196950
2009-02-12T00:00:00Z,202900
2009-02-13T00:00:00Z,209100
2009-02-14T00:00:00Z,215900
2009-02-15T00:00:00Z,222300
2009-02-16T00:00:00Z,228400
2009-02-17T00:00:00Z,234250
2009-02-18T00:00:00Z,240150
2009-02-19T00:00:00Z,246350
2009-02-20T00:00:00Z,252450
2009-02-21T00:00:00Z,258150
2009-02-22T00:00:00Z,264200
2009-02-23T00:00:00Z,269600
2009-02-24T00:00:00Z,274900
2009-02-25T00:00:00Z,280150
2009-02-26T00:00:00Z,285500
2009-02-27T00:00:00Z,291250
2009-02-28T00:00:00Z,296200
2009-03-01T00:00:00Z,301450
2009-03-02T00:00:00Z,306850
2009-03-03T00:00:00Z,312100
2009-03-04T00:00:00Z,317300
2009-03-05T00:00:00Z,322900
2009-03-06T00:00:00Z,328750
2009-03-07T00:00:00Z,334200
2009-03-08T00:00:00Z,339950
2009-03-09T00:00:00Z,345350
2009-03-10T00:00:00Z,350700
2009-03-11T00:00:00Z,356400
2009-03-12T00:00:00Z,362300
2009-03-13T00:00:00Z,367950
2009-03-14T00:00:00Z,373450
2009-03-15T00:00:00Z,379600
2009-03-16T00:00:00Z,385650
2009-03-17T00:00:00Z,391350
2009-03-18T00:00:00Z,397050
2009-03-19T00:00:00Z,403150
2009-03-20T00:00:00Z,409050
2009-03-21T00:00:00Z,411550
2009-03-22T00:00:00Z,417500
2009-03-23T00:00:00Z,424000
2009-03-24T00:00:00Z,429250
2009-03-25T00:00:00Z,435100
2009-03-26T00:00:00Z,440950
2009-03-27T00:00:00Z,446250
2009-03-28T00:00:00Z,452200
2009-03-29T00:00:00Z,458000
2009-03-30T00:00:00Z,464000
2009-03-31T00:00:00Z,469500
2009-04-01T00:00:00Z,475200
2009-04-02T00:00:00Z,480950
2009-04-03T00:00:00Z,486750
2009-04-04T00:00:00Z,492400
2009-04-05T00:00:00Z,498900
2009-04-06T00:00:00Z,504350
2009-04-07T00:00:00Z,509350
2009-04-08T00:00:00Z,514600
2009-04-09T00:00:00Z,519550
2009-04-10T00:00:00Z,524950
2009-04-11T00:00:00Z,530950
2009-04-12T00:00:00Z,536850
2009-04-13T00:00:00Z,542600
2009-04-14T00:00:00Z,548800
2009-04-15T00:00:00Z,554450
2009-04-16T00:00:00Z,560600
2009-04-17T00:00:00Z,566200
